Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 32 x 2048 = 65,536
Tokens / micro-batch: 65,536
Total batch size 524,288 => gradient accumulation steps: 8
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Step 00000 | Validation bpb: 3.2996
step 00000/21400 (0.00%) | loss: 11.090355 | grad norm: 0.4209 | lrm: 1.00 | dt: 66597.72ms | tok/sec: 7,872 | mfu: 2.78 | total time: 0.00m
step 00001/21400 (0.00%) | loss: 10.822755 | grad norm: 10.8110 | lrm: 1.00 | dt: 2185.57ms | tok/sec: 239,886 | mfu: 84.69 | total time: 0.00m
step 00002/21400 (0.01%) | loss: 10.214978 | grad norm: 5.7922 | lrm: 1.00 | dt: 2312.01ms | tok/sec: 226,767 | mfu: 80.06 | total time: 0.00m
step 00003/21400 (0.01%) | loss: 9.504436 | grad norm: 4.1813 | lrm: 1.00 | dt: 2334.34ms | tok/sec: 224,598 | mfu: 79.30 | total time: 0.00m
step 00004/21400 (0.02%) | loss: 8.933482 | grad norm: 7.1623 | lrm: 1.00 | dt: 2324.20ms | tok/sec: 225,578 | mfu: 79.64 | total time: 0.00m
step 00005/21400 (0.02%) | loss: 8.532258 | grad norm: 5.4469 | lrm: 1.00 | dt: 2329.56ms | tok/sec: 225,059 | mfu: 79.46 | total time: 0.00m
step 00006/21400 (0.03%) | loss: 8.233203 | grad norm: 3.5133 | lrm: 1.00 | dt: 2341.58ms | tok/sec: 223,903 | mfu: 79.05 | total time: 0.00m
step 00007/21400 (0.03%) | loss: 7.990865 | grad norm: 4.9435 | lrm: 1.00 | dt: 2338.70ms | tok/sec: 224,179 | mfu: 79.15 | total time: 0.00m
step 00008/21400 (0.04%) | loss: 7.815251 | grad norm: 4.6087 | lrm: 1.00 | dt: 2345.46ms | tok/sec: 223,533 | mfu: 78.92 | total time: 0.00m
step 00009/21400 (0.04%) | loss: 7.632525 | grad norm: 1.9287 | lrm: 1.00 | dt: 2342.66ms | tok/sec: 223,800 | mfu: 79.01 | total time: 0.00m
step 00010/21400 (0.05%) | loss: 7.477584 | grad norm: 3.3579 | lrm: 1.00 | dt: 2336.71ms | tok/sec: 224,370 | mfu: 79.22 | total time: 0.00m
step 00011/21400 (0.05%) | loss: 7.368243 | grad norm: 2.6893 | lrm: 1.00 | dt: 2341.97ms | tok/sec: 223,865 | mfu: 79.04 | total time: 0.04m
