Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 8 x 2048 = 16,384
Tokens / micro-batch: 16,384
Total batch size 262,144 => gradient accumulation steps: 16
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 42,800
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Step 00000 | Validation bpb: 3.2996
step 00000/42800 (0.00%) | loss: 11.090355 | grad norm: 0.4256 | lrm: 1.00 | dt: 66992.09ms | tok/sec: 3,913 | mfu: 1.38 | total time: 0.00m
step 00001/42800 (0.00%) | loss: 10.832540 | grad norm: 11.3761 | lrm: 1.00 | dt: 1208.88ms | tok/sec: 216,848 | mfu: 76.56 | total time: 0.00m
step 00002/42800 (0.00%) | loss: 10.209681 | grad norm: 5.5379 | lrm: 1.00 | dt: 1261.33ms | tok/sec: 207,831 | mfu: 73.38 | total time: 0.00m
step 00003/42800 (0.01%) | loss: 9.530493 | grad norm: 4.2783 | lrm: 1.00 | dt: 1399.87ms | tok/sec: 187,262 | mfu: 66.11 | total time: 0.00m
step 00004/42800 (0.01%) | loss: 9.007210 | grad norm: 5.8238 | lrm: 1.00 | dt: 1272.08ms | tok/sec: 206,074 | mfu: 72.76 | total time: 0.00m
step 00005/42800 (0.01%) | loss: 8.748845 | grad norm: 5.9954 | lrm: 1.00 | dt: 1716.84ms | tok/sec: 152,689 | mfu: 53.91 | total time: 0.00m
step 00006/42800 (0.01%) | loss: 8.435413 | grad norm: 6.4674 | lrm: 1.00 | dt: 1275.57ms | tok/sec: 205,512 | mfu: 72.56 | total time: 0.00m
step 00007/42800 (0.02%) | loss: 8.190987 | grad norm: 4.9100 | lrm: 1.00 | dt: 1279.20ms | tok/sec: 204,928 | mfu: 72.35 | total time: 0.00m
step 00008/42800 (0.02%) | loss: 7.990384 | grad norm: 5.0018 | lrm: 1.00 | dt: 1284.36ms | tok/sec: 204,104 | mfu: 72.06 | total time: 0.00m
step 00009/42800 (0.02%) | loss: 7.797143 | grad norm: 2.1051 | lrm: 1.00 | dt: 1289.98ms | tok/sec: 203,215 | mfu: 71.75 | total time: 0.00m
step 00010/42800 (0.02%) | loss: 7.646584 | grad norm: 2.7427 | lrm: 1.00 | dt: 1284.30ms | tok/sec: 204,114 | mfu: 72.06 | total time: 0.00m
step 00011/42800 (0.03%) | loss: 7.501870 | grad norm: 2.0257 | lrm: 1.00 | dt: 1283.24ms | tok/sec: 204,283 | mfu: 72.12 | total time: 0.02m
step 00012/42800 (0.03%) | loss: 7.404322 | grad norm: 2.5339 | lrm: 1.00 | dt: 1288.78ms | tok/sec: 203,404 | mfu: 71.81 | total time: 0.04m
