Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 32,768
Total batch size 524,288 => gradient accumulation steps: 16
torch.compile() DISABLED via TORCH_COMPILE_DISABLE=1 (using eager mode)
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Step 00000 | Validation bpb: 3.2996
step 00000/21400 (0.00%) | loss: 11.090360 | grad norm: 0.4209 | lrm: 1.00 | dt: 11397.47ms | tok/sec: 46,000 | mfu: 16.24 | total time: 0.00m
step 00001/21400 (0.00%) | loss: 10.810036 | grad norm: 10.8133 | lrm: 1.00 | dt: 3923.69ms | tok/sec: 133,620 | mfu: 47.18 | total time: 0.00m
step 00002/21400 (0.01%) | loss: 10.219240 | grad norm: 5.7944 | lrm: 1.00 | dt: 3975.31ms | tok/sec: 131,885 | mfu: 46.56 | total time: 0.00m
step 00003/21400 (0.01%) | loss: 9.505433 | grad norm: 4.2022 | lrm: 1.00 | dt: 3974.69ms | tok/sec: 131,906 | mfu: 46.57 | total time: 0.00m
step 00004/21400 (0.02%) | loss: 8.938282 | grad norm: 7.1942 | lrm: 1.00 | dt: 3977.92ms | tok/sec: 131,799 | mfu: 46.53 | total time: 0.00m
step 00005/21400 (0.02%) | loss: 8.533928 | grad norm: 5.4462 | lrm: 1.00 | dt: 3975.62ms | tok/sec: 131,875 | mfu: 46.56 | total time: 0.00m
step 00006/21400 (0.03%) | loss: 8.256937 | grad norm: 3.3293 | lrm: 1.00 | dt: 3975.62ms | tok/sec: 131,875 | mfu: 46.56 | total time: 0.00m
step 00007/21400 (0.03%) | loss: 7.986402 | grad norm: 4.8649 | lrm: 1.00 | dt: 3984.45ms | tok/sec: 131,583 | mfu: 46.46 | total time: 0.00m
step 00008/21400 (0.04%) | loss: 7.820619 | grad norm: 4.5908 | lrm: 1.00 | dt: 3984.76ms | tok/sec: 131,573 | mfu: 46.45 | total time: 0.00m
step 00009/21400 (0.04%) | loss: 7.647485 | grad norm: 1.9005 | lrm: 1.00 | dt: 3981.13ms | tok/sec: 131,693 | mfu: 46.50 | total time: 0.00m
step 00010/21400 (0.05%) | loss: 7.489814 | grad norm: 3.4027 | lrm: 1.00 | dt: 3979.34ms | tok/sec: 131,752 | mfu: 46.52 | total time: 0.00m
step 00011/21400 (0.05%) | loss: 7.392657 | grad norm: 2.6465 | lrm: 1.00 | dt: 3980.43ms | tok/sec: 131,716 | mfu: 46.50 | total time: 0.07m
step 00012/21400 (0.06%) | loss: 7.299063 | grad norm: 2.5326 | lrm: 1.00 | dt: 3985.52ms | tok/sec: 131,548 | mfu: 46.44 | total time: 0.13m
step 00013/21400 (0.06%) | loss: 7.187217 | grad norm: 1.7436 | lrm: 1.00 | dt: 3983.06ms | tok/sec: 131,629 | mfu: 46.47 | total time: 0.20m
step 00014/21400 (0.07%) | loss: 7.106506 | grad norm: 3.2667 | lrm: 1.00 | dt: 3987.20ms | tok/sec: 131,492 | mfu: 46.42 | total time: 0.27m
step 00015/21400 (0.07%) | loss: 7.024670 | grad norm: 1.0444 | lrm: 1.00 | dt: 3985.73ms | tok/sec: 131,541 | mfu: 46.44 | total time: 0.33m
step 00016/21400 (0.07%) | loss: 6.945122 | grad norm: 1.6419 | lrm: 1.00 | dt: 3991.18ms | tok/sec: 131,361 | mfu: 46.38 | total time: 0.40m
step 00017/21400 (0.08%) | loss: 6.873089 | grad norm: 0.9216 | lrm: 1.00 | dt: 3986.35ms | tok/sec: 131,520 | mfu: 46.43 | total time: 0.46m
step 00018/21400 (0.08%) | loss: 6.811030 | grad norm: 1.2222 | lrm: 1.00 | dt: 3980.32ms | tok/sec: 131,719 | mfu: 46.50 | total time: 0.53m
