Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 32,768
Total batch size 524,288 => gradient accumulation steps: 16
Resuming optimization from step 1000
Using torch.compile() for optimized training
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Step 01000 | Validation bpb: 1.0003
step 01000/21400 (4.67%) | loss: 3.439872 | grad norm: 0.1700 | lrm: 1.00 | dt: 77881.30ms | tok/sec: 6,731 | mfu: 2.38 | total time: 67.04m
step 01001/21400 (4.68%) | loss: 3.437637 | grad norm: 0.1715 | lrm: 1.00 | dt: 2372.08ms | tok/sec: 221,024 | mfu: 78.03 | total time: 67.08m
step 01002/21400 (4.68%) | loss: 3.423759 | grad norm: 0.1772 | lrm: 1.00 | dt: 2371.93ms | tok/sec: 221,038 | mfu: 78.04 | total time: 67.12m
step 01003/21400 (4.69%) | loss: 3.417718 | grad norm: 0.1779 | lrm: 1.00 | dt: 2372.95ms | tok/sec: 220,943 | mfu: 78.01 | total time: 67.16m
step 01004/21400 (4.69%) | loss: 3.439012 | grad norm: 0.1865 | lrm: 1.00 | dt: 2368.93ms | tok/sec: 221,318 | mfu: 78.14 | total time: 67.20m
step 01005/21400 (4.70%) | loss: 3.433917 | grad norm: 0.1769 | lrm: 1.00 | dt: 2373.65ms | tok/sec: 220,878 | mfu: 77.98 | total time: 67.23m
step 01006/21400 (4.70%) | loss: 3.415466 | grad norm: 0.1668 | lrm: 1.00 | dt: 2367.92ms | tok/sec: 221,412 | mfu: 78.17 | total time: 67.27m
step 01007/21400 (4.71%) | loss: 3.429013 | grad norm: 0.1719 | lrm: 1.00 | dt: 2836.79ms | tok/sec: 184,817 | mfu: 65.25 | total time: 67.32m
step 01008/21400 (4.71%) | loss: 3.425369 | grad norm: 0.1667 | lrm: 1.00 | dt: 2382.36ms | tok/sec: 220,070 | mfu: 77.70 | total time: 67.36m
step 01009/21400 (4.71%) | loss: 3.435321 | grad norm: 0.1491 | lrm: 1.00 | dt: 2381.60ms | tok/sec: 220,140 | mfu: 77.72 | total time: 67.40m
step 01010/21400 (4.72%) | loss: 3.420874 | grad norm: 0.1392 | lrm: 1.00 | dt: 2372.54ms | tok/sec: 220,981 | mfu: 78.02 | total time: 67.44m
step 01011/21400 (4.72%) | loss: 3.420232 | grad norm: 0.1559 | lrm: 1.00 | dt: 2381.49ms | tok/sec: 220,151 | mfu: 77.73 | total time: 67.48m
step 01012/21400 (4.73%) | loss: 3.420695 | grad norm: 0.1703 | lrm: 1.00 | dt: 2378.92ms | tok/sec: 220,388 | mfu: 77.81 | total time: 67.52m
step 01013/21400 (4.73%) | loss: 3.428766 | grad norm: 0.1671 | lrm: 1.00 | dt: 2388.95ms | tok/sec: 219,464 | mfu: 77.48 | total time: 67.56m
step 01014/21400 (4.74%) | loss: 3.429664 | grad norm: 0.1577 | lrm: 1.00 | dt: 2381.89ms | tok/sec: 220,114 | mfu: 77.71 | total time: 67.60m
