Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 32,768
Total batch size 524,288 => gradient accumulation steps: 16
Resuming optimization from step 1000
Using torch.compile() for optimized training
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Step 01000 | Validation bpb: 1.0003
step 01000/21400 (4.67%) | loss: 3.439872 | grad norm: 0.1700 | lrm: 1.00 | dt: 68191.57ms | tok/sec: 7,688 | mfu: 2.71 | total time: 66.88m
step 01001/21400 (4.68%) | loss: 3.437637 | grad norm: 0.1714 | lrm: 1.00 | dt: 2324.53ms | tok/sec: 225,545 | mfu: 79.63 | total time: 66.91m
step 01002/21400 (4.68%) | loss: 3.423750 | grad norm: 0.1769 | lrm: 1.00 | dt: 2337.31ms | tok/sec: 224,312 | mfu: 79.20 | total time: 66.95m
step 01003/21400 (4.69%) | loss: 3.417719 | grad norm: 0.1779 | lrm: 1.00 | dt: 2337.37ms | tok/sec: 224,306 | mfu: 79.19 | total time: 66.99m
step 01004/21400 (4.69%) | loss: 3.439009 | grad norm: 0.1857 | lrm: 1.00 | dt: 2342.35ms | tok/sec: 223,829 | mfu: 79.03 | total time: 67.03m
step 01005/21400 (4.70%) | loss: 3.433905 | grad norm: 0.1766 | lrm: 1.00 | dt: 2340.89ms | tok/sec: 223,969 | mfu: 79.07 | total time: 67.07m
step 01006/21400 (4.70%) | loss: 3.415450 | grad norm: 0.1680 | lrm: 1.00 | dt: 2353.96ms | tok/sec: 222,726 | mfu: 78.64 | total time: 67.11m
step 01007/21400 (4.71%) | loss: 3.429002 | grad norm: 0.1724 | lrm: 1.00 | dt: 2346.35ms | tok/sec: 223,448 | mfu: 78.89 | total time: 67.15m
step 01008/21400 (4.71%) | loss: 3.425332 | grad norm: 0.1660 | lrm: 1.00 | dt: 2341.28ms | tok/sec: 223,932 | mfu: 79.06 | total time: 67.19m
step 01009/21400 (4.71%) | loss: 3.435297 | grad norm: 0.1480 | lrm: 1.00 | dt: 2338.25ms | tok/sec: 224,222 | mfu: 79.16 | total time: 67.23m
step 01010/21400 (4.72%) | loss: 3.420857 | grad norm: 0.1386 | lrm: 1.00 | dt: 2351.01ms | tok/sec: 223,005 | mfu: 78.73 | total time: 67.27m
step 01011/21400 (4.72%) | loss: 3.420229 | grad norm: 0.1548 | lrm: 1.00 | dt: 2365.39ms | tok/sec: 221,649 | mfu: 78.26 | total time: 67.31m
step 01012/21400 (4.73%) | loss: 3.420657 | grad norm: 0.1696 | lrm: 1.00 | dt: 2345.34ms | tok/sec: 223,544 | mfu: 78.92 | total time: 67.34m
step 01013/21400 (4.73%) | loss: 3.428729 | grad norm: 0.1670 | lrm: 1.00 | dt: 2353.64ms | tok/sec: 222,755 | mfu: 78.65 | total time: 67.38m
step 01014/21400 (4.74%) | loss: 3.429638 | grad norm: 0.1583 | lrm: 1.00 | dt: 2357.35ms | tok/sec: 222,406 | mfu: 78.52 | total time: 67.42m
step 01015/21400 (4.74%) | loss: 3.416787 | grad norm: 0.1625 | lrm: 1.00 | dt: 2368.10ms | tok/sec: 221,395 | mfu: 78.17 | total time: 67.46m
step 01016/21400 (4.75%) | loss: 3.410431 | grad norm: 0.1432 | lrm: 1.00 | dt: 2357.37ms | tok/sec: 222,404 | mfu: 78.52 | total time: 67.50m
step 01017/21400 (4.75%) | loss: 3.411790 | grad norm: 0.1392 | lrm: 1.00 | dt: 2343.70ms | tok/sec: 223,701 | mfu: 78.98 | total time: 67.54m
step 01018/21400 (4.76%) | loss: 3.413378 | grad norm: 0.1557 | lrm: 1.00 | dt: 2360.67ms | tok/sec: 222,092 | mfu: 78.41 | total time: 67.58m
step 01019/21400 (4.76%) | loss: 3.410120 | grad norm: 0.1656 | lrm: 1.00 | dt: 2351.73ms | tok/sec: 222,937 | mfu: 78.71 | total time: 67.62m
step 01020/21400 (4.77%) | loss: 3.404487 | grad norm: 0.1485 | lrm: 1.00 | dt: 2361.74ms | tok/sec: 221,992 | mfu: 78.38 | total time: 67.66m
step 01021/21400 (4.77%) | loss: 3.343637 | grad norm: 0.1343 | lrm: 1.00 | dt: 2353.91ms | tok/sec: 222,730 | mfu: 78.64 | total time: 67.70m
step 01022/21400 (4.78%) | loss: 3.340675 | grad norm: 0.1447 | lrm: 1.00 | dt: 2352.47ms | tok/sec: 222,867 | mfu: 78.69 | total time: 67.74m
step 01023/21400 (4.78%) | loss: 3.345315 | grad norm: 0.1577 | lrm: 1.00 | dt: 2357.63ms | tok/sec: 222,378 | mfu: 78.51 | total time: 67.78m
step 01024/21400 (4.79%) | loss: 3.342983 | grad norm: 0.1712 | lrm: 1.00 | dt: 2356.93ms | tok/sec: 222,445 | mfu: 78.54 | total time: 67.82m
step 01025/21400 (4.79%) | loss: 3.342882 | grad norm: 0.1634 | lrm: 1.00 | dt: 2355.30ms | tok/sec: 222,599 | mfu: 78.59 | total time: 67.85m
step 01026/21400 (4.79%) | loss: 3.353903 | grad norm: 0.1624 | lrm: 1.00 | dt: 2354.26ms | tok/sec: 222,697 | mfu: 78.63 | total time: 67.89m
step 01027/21400 (4.80%) | loss: 3.359041 | grad norm: 0.1815 | lrm: 1.00 | dt: 2349.68ms | tok/sec: 223,131 | mfu: 78.78 | total time: 67.93m
step 01028/21400 (4.80%) | loss: 3.342657 | grad norm: 0.1577 | lrm: 1.00 | dt: 2355.32ms | tok/sec: 222,597 | mfu: 78.59 | total time: 67.97m
step 01029/21400 (4.81%) | loss: 3.339846 | grad norm: 0.1483 | lrm: 1.00 | dt: 2361.38ms | tok/sec: 222,026 | mfu: 78.39 | total time: 68.01m
step 01030/21400 (4.81%) | loss: 3.355481 | grad norm: 0.1407 | lrm: 1.00 | dt: 2357.70ms | tok/sec: 222,372 | mfu: 78.51 | total time: 68.05m
step 01031/21400 (4.82%) | loss: 3.361194 | grad norm: 0.1438 | lrm: 1.00 | dt: 2369.98ms | tok/sec: 221,220 | mfu: 78.10 | total time: 68.09m
step 01032/21400 (4.82%) | loss: 3.368037 | grad norm: 0.1502 | lrm: 1.00 | dt: 2367.37ms | tok/sec: 221,463 | mfu: 78.19 | total time: 68.13m
step 01033/21400 (4.83%) | loss: 3.366307 | grad norm: 0.1640 | lrm: 1.00 | dt: 2361.81ms | tok/sec: 221,985 | mfu: 78.37 | total time: 68.17m
step 01034/21400 (4.83%) | loss: 3.362376 | grad norm: 0.1622 | lrm: 1.00 | dt: 2366.21ms | tok/sec: 221,573 | mfu: 78.23 | total time: 68.21m
step 01035/21400 (4.84%) | loss: 3.339097 | grad norm: 0.1623 | lrm: 1.00 | dt: 2363.63ms | tok/sec: 221,814 | mfu: 78.31 | total time: 68.25m
step 01036/21400 (4.84%) | loss: 3.341491 | grad norm: 0.1635 | lrm: 1.00 | dt: 2350.70ms | tok/sec: 223,034 | mfu: 78.74 | total time: 68.29m
step 01037/21400 (4.85%) | loss: 3.339762 | grad norm: 0.1694 | lrm: 1.00 | dt: 2361.09ms | tok/sec: 222,053 | mfu: 78.40 | total time: 68.33m
step 01038/21400 (4.85%) | loss: 3.349854 | grad norm: 0.1658 | lrm: 1.00 | dt: 2371.91ms | tok/sec: 221,040 | mfu: 78.04 | total time: 68.37m
step 01039/21400 (4.86%) | loss: 3.331437 | grad norm: 0.1522 | lrm: 1.00 | dt: 2366.11ms | tok/sec: 221,582 | mfu: 78.23 | total time: 68.41m
step 01040/21400 (4.86%) | loss: 3.330595 | grad norm: 0.1387 | lrm: 1.00 | dt: 2368.46ms | tok/sec: 221,362 | mfu: 78.15 | total time: 68.45m
step 01041/21400 (4.86%) | loss: 3.347383 | grad norm: 0.1398 | lrm: 1.00 | dt: 2373.50ms | tok/sec: 220,892 | mfu: 77.99 | total time: 68.48m
step 01042/21400 (4.87%) | loss: 3.358964 | grad norm: 0.1428 | lrm: 1.00 | dt: 2364.97ms | tok/sec: 221,688 | mfu: 78.27 | total time: 68.52m
step 01043/21400 (4.87%) | loss: 3.337973 | grad norm: 0.1548 | lrm: 1.00 | dt: 2372.02ms | tok/sec: 221,030 | mfu: 78.04 | total time: 68.56m
step 01044/21400 (4.88%) | loss: 3.360445 | grad norm: 0.1572 | lrm: 1.00 | dt: 2363.16ms | tok/sec: 221,858 | mfu: 78.33 | total time: 68.60m
step 01045/21400 (4.88%) | loss: 3.358180 | grad norm: 0.1637 | lrm: 1.00 | dt: 2381.35ms | tok/sec: 220,163 | mfu: 77.73 | total time: 68.64m
step 01046/21400 (4.89%) | loss: 3.360393 | grad norm: 0.1593 | lrm: 1.00 | dt: 2357.77ms | tok/sec: 222,366 | mfu: 78.51 | total time: 68.68m
step 01047/21400 (4.89%) | loss: 3.363607 | grad norm: 0.1567 | lrm: 1.00 | dt: 2360.54ms | tok/sec: 222,105 | mfu: 78.42 | total time: 68.72m
step 01048/21400 (4.90%) | loss: 3.362346 | grad norm: 0.1563 | lrm: 1.00 | dt: 2365.57ms | tok/sec: 221,632 | mfu: 78.25 | total time: 68.76m
step 01049/21400 (4.90%) | loss: 3.342681 | grad norm: 0.1577 | lrm: 1.00 | dt: 2367.54ms | tok/sec: 221,448 | mfu: 78.18 | total time: 68.80m
step 01050/21400 (4.91%) | loss: 3.337341 | grad norm: 0.1594 | lrm: 1.00 | dt: 2363.86ms | tok/sec: 221,793 | mfu: 78.31 | total time: 68.84m
step 01051/21400 (4.91%) | loss: 3.347324 | grad norm: 0.1655 | lrm: 1.00 | dt: 2366.29ms | tok/sec: 221,564 | mfu: 78.23 | total time: 68.88m
step 01052/21400 (4.92%) | loss: 3.334316 | grad norm: 0.1701 | lrm: 1.00 | dt: 2363.86ms | tok/sec: 221,793 | mfu: 78.31 | total time: 68.92m
step 01053/21400 (4.92%) | loss: 3.331704 | grad norm: 0.1527 | lrm: 1.00 | dt: 2362.87ms | tok/sec: 221,885 | mfu: 78.34 | total time: 68.96m
step 01054/21400 (4.93%) | loss: 3.335274 | grad norm: 0.1645 | lrm: 1.00 | dt: 2356.03ms | tok/sec: 222,530 | mfu: 78.57 | total time: 69.00m
step 01055/21400 (4.93%) | loss: 3.331082 | grad norm: 0.1573 | lrm: 1.00 | dt: 2372.79ms | tok/sec: 220,958 | mfu: 78.01 | total time: 69.04m
step 01056/21400 (4.93%) | loss: 3.321728 | grad norm: 0.1458 | lrm: 1.00 | dt: 2365.98ms | tok/sec: 221,594 | mfu: 78.24 | total time: 69.08m
step 01057/21400 (4.94%) | loss: 3.329854 | grad norm: 0.1579 | lrm: 1.00 | dt: 2371.06ms | tok/sec: 221,119 | mfu: 78.07 | total time: 69.12m
step 01058/21400 (4.94%) | loss: 3.318793 | grad norm: 0.1484 | lrm: 1.00 | dt: 2365.11ms | tok/sec: 221,676 | mfu: 78.26 | total time: 69.15m
step 01059/21400 (4.95%) | loss: 3.329750 | grad norm: 0.1463 | lrm: 1.00 | dt: 2380.82ms | tok/sec: 220,213 | mfu: 77.75 | total time: 69.19m
step 01060/21400 (4.95%) | loss: 3.338870 | grad norm: 0.1517 | lrm: 1.00 | dt: 2366.29ms | tok/sec: 221,564 | mfu: 78.23 | total time: 69.23m
step 01061/21400 (4.96%) | loss: 3.346777 | grad norm: 0.1553 | lrm: 1.00 | dt: 2360.70ms | tok/sec: 222,089 | mfu: 78.41 | total time: 69.27m
step 01062/21400 (4.96%) | loss: 3.345544 | grad norm: 0.1642 | lrm: 1.00 | dt: 2368.50ms | tok/sec: 221,358 | mfu: 78.15 | total time: 69.31m
step 01063/21400 (4.97%) | loss: 3.368509 | grad norm: 0.1534 | lrm: 1.00 | dt: 2369.45ms | tok/sec: 221,270 | mfu: 78.12 | total time: 69.35m
step 01064/21400 (4.97%) | loss: 3.358899 | grad norm: 0.1489 | lrm: 1.00 | dt: 2368.96ms | tok/sec: 221,315 | mfu: 78.14 | total time: 69.39m
step 01065/21400 (4.98%) | loss: 3.358152 | grad norm: 0.1493 | lrm: 1.00 | dt: 2364.59ms | tok/sec: 221,724 | mfu: 78.28 | total time: 69.43m
step 01066/21400 (4.98%) | loss: 3.352565 | grad norm: 0.1559 | lrm: 1.00 | dt: 2359.13ms | tok/sec: 222,237 | mfu: 78.46 | total time: 69.47m
step 01067/21400 (4.99%) | loss: 3.346500 | grad norm: 0.1608 | lrm: 1.00 | dt: 2367.98ms | tok/sec: 221,406 | mfu: 78.17 | total time: 69.51m
step 01068/21400 (4.99%) | loss: 3.351209 | grad norm: 0.1742 | lrm: 1.00 | dt: 2372.33ms | tok/sec: 221,001 | mfu: 78.03 | total time: 69.55m
step 01069/21400 (5.00%) | loss: 3.343940 | grad norm: 0.1748 | lrm: 1.00 | dt: 2376.93ms | tok/sec: 220,573 | mfu: 77.88 | total time: 69.59m
step 01070/21400 (5.00%) | loss: 3.350825 | grad norm: 0.1528 | lrm: 1.00 | dt: 2361.26ms | tok/sec: 222,037 | mfu: 78.39 | total time: 69.63m
step 01071/21400 (5.00%) | loss: 3.356111 | grad norm: 0.1361 | lrm: 1.00 | dt: 2371.97ms | tok/sec: 221,034 | mfu: 78.04 | total time: 69.67m
step 01072/21400 (5.01%) | loss: 3.352847 | grad norm: 0.1406 | lrm: 1.00 | dt: 2363.79ms | tok/sec: 221,799 | mfu: 78.31 | total time: 69.71m
