Vocab size: 65,536
num_layers: 20
model_dim: 1280
num_heads: 10
num_kv_heads: 10
Tokens / micro-batch / rank: 16 x 2048 = 32,768
Tokens / micro-batch: 32,768
Total batch size 524,288 => gradient accumulation steps: 16
Resuming optimization from step 1000
torch.compile() DISABLED via TORCH_COMPILE_DISABLE=1 (using eager mode)
Number of parameters: 560,988,160
Estimated FLOPs per token: 3.491758e+09
Calculated number of iterations from target data:param ratio: 21,400
Total number of training tokens: 11,219,763,200
Tokens : Params ratio: 20.00
Total training FLOPs estimate: 3.917670e+19
Scaling the LR for the AdamW parameters ∝1/√(1280/768) = 0.774597
Step 01000 | Validation bpb: 1.0004
step 01000/21400 (4.67%) | loss: 3.439895 | grad norm: 0.1696 | lrm: 1.00 | dt: 11833.42ms | tok/sec: 44,305 | mfu: 15.64 | total time: 65.94m
step 01001/21400 (4.68%) | loss: 3.437679 | grad norm: 0.1712 | lrm: 1.00 | dt: 3970.71ms | tok/sec: 132,038 | mfu: 46.62 | total time: 66.00m
step 01002/21400 (4.68%) | loss: 3.423820 | grad norm: 0.1773 | lrm: 1.00 | dt: 3961.11ms | tok/sec: 132,358 | mfu: 46.73 | total time: 66.07m
step 01003/21400 (4.69%) | loss: 3.417798 | grad norm: 0.1775 | lrm: 1.00 | dt: 3975.68ms | tok/sec: 131,873 | mfu: 46.56 | total time: 66.13m
step 01004/21400 (4.69%) | loss: 3.439116 | grad norm: 0.1860 | lrm: 1.00 | dt: 3961.31ms | tok/sec: 132,352 | mfu: 46.73 | total time: 66.20m
step 01005/21400 (4.70%) | loss: 3.434035 | grad norm: 0.1770 | lrm: 1.00 | dt: 3963.57ms | tok/sec: 132,276 | mfu: 46.70 | total time: 66.27m
step 01006/21400 (4.70%) | loss: 3.415602 | grad norm: 0.1668 | lrm: 1.00 | dt: 3967.72ms | tok/sec: 132,138 | mfu: 46.65 | total time: 66.33m
step 01007/21400 (4.71%) | loss: 3.429160 | grad norm: 0.1713 | lrm: 1.00 | dt: 3964.44ms | tok/sec: 132,247 | mfu: 46.69 | total time: 66.40m
step 01008/21400 (4.71%) | loss: 3.425520 | grad norm: 0.1661 | lrm: 1.00 | dt: 3961.84ms | tok/sec: 132,334 | mfu: 46.72 | total time: 66.46m
step 01009/21400 (4.71%) | loss: 3.435490 | grad norm: 0.1487 | lrm: 1.00 | dt: 3958.30ms | tok/sec: 132,452 | mfu: 46.76 | total time: 66.53m
step 01010/21400 (4.72%) | loss: 3.421078 | grad norm: 0.1388 | lrm: 1.00 | dt: 3961.05ms | tok/sec: 132,360 | mfu: 46.73 | total time: 66.60m
step 01011/21400 (4.72%) | loss: 3.420437 | grad norm: 0.1544 | lrm: 1.00 | dt: 3963.22ms | tok/sec: 132,288 | mfu: 46.71 | total time: 66.66m
step 01012/21400 (4.73%) | loss: 3.420921 | grad norm: 0.1701 | lrm: 1.00 | dt: 3958.19ms | tok/sec: 132,456 | mfu: 46.77 | total time: 66.73m
step 01013/21400 (4.73%) | loss: 3.429004 | grad norm: 0.1686 | lrm: 1.00 | dt: 3958.01ms | tok/sec: 132,462 | mfu: 46.77 | total time: 66.79m
step 01014/21400 (4.74%) | loss: 3.429925 | grad norm: 0.1589 | lrm: 1.00 | dt: 3958.40ms | tok/sec: 132,449 | mfu: 46.76 | total time: 66.86m
step 01015/21400 (4.74%) | loss: 3.417056 | grad norm: 0.1625 | lrm: 1.00 | dt: 3958.78ms | tok/sec: 132,436 | mfu: 46.76 | total time: 66.93m
step 01016/21400 (4.75%) | loss: 3.410706 | grad norm: 0.1448 | lrm: 1.00 | dt: 3961.86ms | tok/sec: 132,333 | mfu: 46.72 | total time: 66.99m
step 01017/21400 (4.75%) | loss: 3.412057 | grad norm: 0.1391 | lrm: 1.00 | dt: 3957.62ms | tok/sec: 132,475 | mfu: 46.77 | total time: 67.06m
step 01018/21400 (4.76%) | loss: 3.413612 | grad norm: 0.1539 | lrm: 1.00 | dt: 3959.69ms | tok/sec: 132,406 | mfu: 46.75 | total time: 67.12m
step 01019/21400 (4.76%) | loss: 3.410373 | grad norm: 0.1645 | lrm: 1.00 | dt: 3958.82ms | tok/sec: 132,435 | mfu: 46.76 | total time: 67.19m
step 01020/21400 (4.77%) | loss: 3.404736 | grad norm: 0.1461 | lrm: 1.00 | dt: 3959.86ms | tok/sec: 132,400 | mfu: 46.75 | total time: 67.26m
step 01021/21400 (4.77%) | loss: 3.343834 | grad norm: 0.1333 | lrm: 1.00 | dt: 3958.48ms | tok/sec: 132,446 | mfu: 46.76 | total time: 67.32m
step 01022/21400 (4.78%) | loss: 3.340860 | grad norm: 0.1436 | lrm: 1.00 | dt: 3958.04ms | tok/sec: 132,461 | mfu: 46.77 | total time: 67.39m
step 01023/21400 (4.78%) | loss: 3.345480 | grad norm: 0.1541 | lrm: 1.00 | dt: 3958.20ms | tok/sec: 132,456 | mfu: 46.76 | total time: 67.45m
step 01024/21400 (4.79%) | loss: 3.343148 | grad norm: 0.1680 | lrm: 1.00 | dt: 3958.74ms | tok/sec: 132,438 | mfu: 46.76 | total time: 67.52m
step 01025/21400 (4.79%) | loss: 3.343069 | grad norm: 0.1619 | lrm: 1.00 | dt: 3965.75ms | tok/sec: 132,204 | mfu: 46.68 | total time: 67.59m
step 01026/21400 (4.79%) | loss: 3.354103 | grad norm: 0.1629 | lrm: 1.00 | dt: 3971.01ms | tok/sec: 132,028 | mfu: 46.61 | total time: 67.65m
step 01027/21400 (4.80%) | loss: 3.359286 | grad norm: 0.1848 | lrm: 1.00 | dt: 3960.45ms | tok/sec: 132,381 | mfu: 46.74 | total time: 67.72m
step 01028/21400 (4.80%) | loss: 3.342901 | grad norm: 0.1590 | lrm: 1.00 | dt: 3957.38ms | tok/sec: 132,483 | mfu: 46.77 | total time: 67.78m
